,0
OGC Nizza,France
FC Prilly,Switzerland
Standard Res.,Belgium
Anzio,Italy
Castellanzese,Italy
Athletic Adjamé,Ivory Coast
Aargau U21,Switzerland
FC Cadenazzo,Switzerland
NK Zagreb,Croatia
D. Concepción,Chile
Caxias-RS,Brazil
GC Biaschesi,Switzerland
Roter Stern,Serbia
AOK Kerkyra,Greece
Schwamendingen,Switzerland
FC Heartland,Nigeria
Losone,Switzerland
US Giubiasco,Switzerland
Union Ripa,Italy
KSC Lokeren,Belgium
Wigan U23,England
AC Mailand U19,Italy
FC Littau,Switzerland
San Lorenzo II,Italy
Le Mont LS,France
AS Nancy U19,France
AS Tanda,Ivory Coast
Nest-Sotra IL,Norway
Racing Club,Argentina
FC Wohlen U23,Switzerland
FC Porto U19,Portugal
Rappi Jugend,Switzerland
AS Minusio,Switzerland
KAC Kénitra,Morocco
Sloboda Uzice,Serbia
AC Sementina,Switzerland
CA Unión,Argentina
AC Bellinzona U18,Switzerland
Dubai CSC,United Arab Emirates
Iskra-Stali,Moldova
AC Ravecchia,Switzerland
CD Toledo,Spain
Bassano,Italy
UD San Fernando,Spain
Milano City,Italy
FC Besa,Kosovo
Varese,Italy
Independente-SP,Brazil
Desportivo Aves,Portugal
Villa Nova AC,Brazil
Olymp. Lyon U19,France
FC Porza,Switzerland
FC Wangen b. O.,Switzerland
TP Mazembe,Congo
BSK Borca,Serbia
ASC Gordola,Switzerland
Celik Zenica,Bosnia-Herzegovina
AS Dakar Sacré Coeur,Senegal
Pazova,Serbia
Monte Azul-SP,Brazil
Sopot,Poland
FC Ebikon,Switzerland
FC Locarno,Switzerland
1º de Agosto,Angola
Formentera,Spain
AS Pikine,Senegal
Tricordiano-MG,Brazil
La Vitréenne FC,France
Syrianska FC,Sweden
Inter U19,Italy
Newell's II,Argentina
Coritiba FC U20,Brazil
CA Bastia,France
US Arbedo,Switzerland
River Plate,Argentina
Beira-Mar,Portugal
Olginatese,Italy
Karriereende,Karriereende
Vaduz II,Lichtenstein
Aargau U16,Switzerland
Vereinslos,Vereinslos
FC Malcantone,Switzerland
FC Fidene,Italy
AS Cannes,France
Tubarão-SC,Brazil
Stade Gabèsien,France
FC Tours,France
NY Cosmos,USA
J'ville Armada,USA
AC Arles,France
NK Zadar ,Croatia
Rapid Lugano,Switzerland
Panionios,Greece
FC Baulmes,Switzerland
Neuweg,France
Vestsjaelland,Denmark
Puerto Rico FC,Puerto Rico
Vedeggio,Switzerland
Barca U19,Spain
Novara U19,Italy
Gaziantepspor,Turkey
Petro Luanda,Angola
MFM FC,Nigeria
Malcantone Agno,Switzerland
FC Aesch,Switzerland
Amarante,Portugal
FC Ascona,Switzerland
FC Donneloye,Switzerland
OFK Belgrad U19,Serbia
FC Alle,Switzerland
Sporting U19,Portugal
Flying Sports,Nigeria
Irapuato,Mexico
San Severo,Italy
Vélez U20,Argentina
Ethnikos,Greece
Huracán,Columbia
Tskhinvali,Georgia
Al-Shorta SC,Egypt
Etoile Filante,Burkina Faso
NK Ankaran,Slovenia
FC San Pedro,Ivory Coast
Kecskeméti TE,Hungary
Niarry Tally,Senegal
Argentinos II,Argentina
AS Kaloum,Guinea
FC Postojna,Slovenia
 AS Castello,Switzerland
Unbekannt,Unbekannt
FC Serrières,Switzerland
Kawkab Marrakech,Morocco
FCC II,Switzerland
Arapongas,Brazil
Arzanese,Italy
Thonon Évian,France
AC Vallemaggia,Switzerland
Skonto,Latvia
FC Diessenhofen,Switzerland
São Carlos,Brazil
FC Corcelles,Switzerland
Independiente,Argentina
FC Aigle,Switzerland
Vélez II,Argentina
SC Braga B,Portugal
Mersin IY,Turkey
Rimyongsu SC,Costa Rica
Chern. Burgas,Bulgaria
Boca Juniors,Argentina
Xamax Jugend,Switzerland
União Madeira,Portugal
SC Balerna,Switzerland
Argentina,Argentina
Saint-Étienne B,France
Chieti,Italy
FC Dürrenast,Switzerland
Juventus U19,Italy
Xamax II,Switzerland
Mladost,Serbia
Fluminense U20,Brazil
Toronto FC II,Canada
OFK Belgrad,Serbia
Metropolitano,Venezuela
Sunshine Stars,Nigeria
Pune City,India
Platanias,Greece
Team Vaud U16,Switzerland
ASEC Mimosas,Ivory Coast
ES Zarzis,Tunisia
Kabuscorp SC,Angola
pausiert,pausiert
